시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,점포구분명
고양시,라 몬테 이탈리아노,20190122,,5,영업개시전,,031-947-9603,6030.85,10393,"경기도 고양시 일산동구 연리지로 51, 라몬테이탈리아노 (장항동)",경기도 고양시 일산동구 장항동 1800번지 라몬테이탈리아노,,,,그 밖의 대규모점포,178307.044705103    ,461974.801224849    ,대규모점포
고양시,GIFC MALL,20190123,,5,영업개시전,,955-9445,9385.02,10391,경기도 고양시 일산서구 킨텍스로 240 (대화동),경기도 고양시 일산서구 대화동 2603번지,10391,37.6660976,126.7505203,그 밖의 대규모점포,177924.792392199    ,462674.148708703    ,대규모점포
고양시,힐스몰,20190604,,5,영업개시전,,02-567-7700,7989.5,10591,경기도 고양시 덕양구 동송로 70 (삼송동),경기도 고양시 덕양구 삼송동 291번지,10591,37.6523277,126.8966457,그 밖의 대규모점포,190814.230280765    ,461119.453768538    ,대규모점포
고양시,스타필드 고양,20160425,,5,영업개시전,,070-7896-7801,129225,412090,"370, 동산동동",경기도 고양시 덕양구 동산동 370번지,10595,37.6469390048,126.8956109904,복합쇼핑몰,190715.654303376    ,560834.907896845    ,대규모점포
고양시,일산 벨라씨타(Bella Citta),20160826,,5,영업개시전,,02-3438-9480,42599.44,10450,"경기도 고양시 일산동구 강송로 33 (백석동, 일산요진와이시티)",경기도 고양시 일산동구 백석동 1237번지,10450,37.6423587337,126.7926815021,쇼핑센터,181637.189249099    ,460029.013400211    ,대규모점포
고양시,고양 일산 호수공원 가로수길,20170825,,5,영업개시전,,,16505.82,10391,경기도 고양시 일산서구 주엽로 80 (대화동),경기도 고양시 일산서구 대화동 1050번지 185호,10392,37.6659389,126.7564031,그 밖의 대규모점포,178443.77289033     ,462653.992628028    ,대규모점포
고양시,고양삼송현대헤리엇,20210702,,5,영업개시전,,031-901-6611,15789,10592,"경기도 고양시 덕양구 삼송로 222, 고양삼송현대헤리엇 (삼송동)",경기도 고양시 덕양구 삼송동 293,10592,37.6528963832,126.8992287721,그 밖의 대규모점포,,,대규모점포
고양시,일산시장,19811020,,1,정상영업,,975-3903,0,,경기도 고양시 일산서구 일청로12번길 9 (일산동),경기도 고양시일산서구 일산동 617-20호,10342,37.6856543,126.7708718,시장,,,
고양시,홈플러스(주) 일산점,20070911,,1,정상영업,,031-926-8035,12885,410837,경기도 고양시 일산동구 중앙로1275번길 64 (장항동),경기도 고양시 일산동구 장항동 755번지,410837,37.6590645766,126.7688671725,대형마트,179536.212704008    ,461876.531597015    ,대규모점포
고양시,e-편한세상 시티 삼송(World Avenue),20180410,,1,정상영업,,031-782-3752,11120.34,10595,경기도 고양시 덕양구 동송로 33 (동산동),경기도 고양시 덕양구 동산동 369번지,10595,37.6495255,126.8964231,그 밖의 대규모점포,190793.816366137    ,460809.288799795    ,대규모점포
고양시,유니코(UNICO),19941011,,1,정상영업,,0344 9001201,6360.45,,경기도 고양시 일산동구 중앙로 1124 (백석동),경기도 고양시일산동구 백석동 1194호,10421,37.6478809,126.7823999,그 밖의 대규모점포,180731.148172095    ,460645.088503364    ,대규모점포
고양시,대우로얄마트,19960524,,1,정상영업,,905-4051,7133.47,,경기도 고양시 일산동구 중앙로 1129 (장항동),경기도 고양시일산동구 장항동 902호,10422,37.6488301,126.7792923,그 밖의 대규모점포,180458.844874681    ,460748.278360947    ,
고양시,태영프라자,19920701,,1,정상영업,,031 9154147,2634.86,411848,경기도 고양시 일산서구 중앙로 1388 (주엽동),경기도 고양시 일산서구 주엽동 73번지,411848,37.6685431,126.7654053,그 밖의 대규모점포,179238.725261115    ,462941.223697841    ,대규모점포
고양시,(주)이마트에브리데이 탄현역점,20130530,,1,정상영업,,031-724-7081,1775.01,411320,"경기도 고양시 일산서구 일현로 97-11 (탄현동, 위브더제니스 스퀘어)",경기도 고양시 일산서구 탄현동 1640번지 위브더제니스 스퀘어,411320,37.6952147328,126.7627841878,구분없음,179005.665068939    ,465786.029740427    ,준대규모점포
